Experiment	Z spectroscopy	
Saved Date	24.08.2024 21:17:11	
User		
Date		
X (m)	356.068E-9	
Y (m)	-268.571E-9	
Z (m)	-70.16E-9	
Z offset (m)	1E-9	
Z sweep distance (m)	1E-9	
Settling time (s)	50E-3	
Integration time (s)	700E-3	
Final Z (m)	N/A	
Start time	24.08.2024 21:12:09	
Filter type	None	
Order		
Cutoff frq		

[DATA]
Z rel (m)	Current (A)	Bias (V)	OC D1 Phase (deg)	OC D1 Amplitude (m)	OC M1 Freq. Shift (Hz)	OC M1 Excitation (V)	LI Demod 1 X (A)	LI Demod 1 Y (A)
737.49995E-12	2.8906020E-12	600.00002E-3	2.4257717E-3	102.72427E-12	-553.02924E-3	317.72477E-6	-2.3574662E-12	-694.22656E-18
734.99995E-12	2.8855462E-12	600.00002E-3	-246.53252E-6	102.87302E-12	-562.60586E-3	315.02961E-6	-2.3777042E-12	28.348580E-15
732.49995E-12	2.8842579E-12	600.00002E-3	-2.8464063E-3	102.84104E-12	-591.99756E-3	308.14382E-6	-2.3537541E-12	2.3981542E-15
729.99995E-12	2.8800469E-12	600.00002E-3	1.3712769E-3	102.73050E-12	-574.70596E-3	319.32577E-6	-2.3562409E-12	28.424803E-15
727.49995E-12	2.8700033E-12	600.00002E-3	-1.3640473E-3	102.98555E-12	-570.87171E-3	288.53651E-6	-2.3584511E-12	34.247687E-15
724.99995E-12	2.8703602E-12	600.00002E-3	955.18312E-6	102.91282E-12	-605.59630E-3	289.08972E-6	-2.3558772E-12	22.730443E-15
722.49995E-12	2.8740966E-12	600.00002E-3	-3.7819825E-3	102.92147E-12	-589.98382E-3	287.08999E-6	-2.3451735E-12	8.9745165E-15
719.99995E-12	2.8598354E-12	600.00002E-3	-189.69484E-6	102.85671E-12	-590.68710E-3	308.71085E-6	-2.3823545E-12	16.978633E-15
717.49995E-12	2.8598994E-12	600.00002E-3	5.1897829E-3	103.12583E-12	-577.18664E-3	277.88844E-6	-2.3460778E-12	22.421125E-15
714.99995E-12	2.8544079E-12	600.00002E-3	-5.7401699E-3	103.13423E-12	-605.01796E-3	285.66597E-6	-2.3649299E-12	27.581456E-15
712.49995E-12	2.8482026E-12	600.00002E-3	136.99636E-6	103.07059E-12	-587.87066E-3	290.86208E-6	-2.3608661E-12	31.111371E-15
709.99995E-12	2.8475473E-12	600.00002E-3	-144.12352E-6	103.03666E-12	-584.56862E-3	280.76739E-6	-2.3651875E-12	18.087763E-15
707.49995E-12	2.8441229E-12	600.00002E-3	-6.1303359E-3	102.98203E-12	-587.03262E-3	295.07675E-6	-2.3762717E-12	6.5116522E-15
704.99995E-12	2.8390680E-12	600.00002E-3	627.13027E-6	102.73588E-12	-572.34496E-3	310.82914E-6	-2.3779446E-12	18.691307E-15
702.49995E-12	2.8385243E-12	600.00002E-3	-2.1697772E-3	102.74972E-12	-587.55726E-3	322.79483E-6	-2.3538148E-12	29.435483E-15
699.99995E-12	2.8330910E-12	600.00002E-3	-1.4197847E-3	102.94327E-12	-606.32980E-3	295.82260E-6	-2.3700835E-12	11.691456E-15
697.49995E-12	2.8321093E-12	600.00002E-3	1.5524621E-3	102.75145E-12	-574.95475E-3	307.79323E-6	-2.3539317E-12	28.711605E-15
694.99995E-12	2.8264420E-12	600.00002E-3	-1.8948300E-3	102.87938E-12	-584.97137E-3	305.85792E-6	-2.3643617E-12	10.253577E-15
692.49995E-12	2.8245668E-12	600.00002E-3	554.69363E-6	103.13420E-12	-577.24333E-3	280.56095E-6	-2.3798916E-12	26.987100E-15
689.99995E-12	2.8213718E-12	600.00002E-3	-54.502816E-6	103.05228E-12	-599.70438E-3	289.07941E-6	-2.3601401E-12	6.0905586E-15
687.49995E-12	2.8143202E-12	600.00002E-3	-4.2061624E-3	102.89564E-12	-612.01209E-3	300.82325E-6	-2.3529327E-12	13.132473E-15
684.99995E-12	2.8122699E-12	600.00002E-3	629.86591E-6	102.66296E-12	-558.03859E-3	325.80446E-6	-2.3656125E-12	29.194854E-15
682.49995E-12	2.8091730E-12	600.00002E-3	-1.9268291E-3	102.95954E-12	-601.12685E-3	298.07069E-6	-2.3465034E-12	1.1121710E-15
679.99995E-12	2.8039040E-12	600.00002E-3	-3.9432626E-3	102.99175E-12	-584.41639E-3	293.23960E-6	-2.3437962E-12	20.331489E-15
677.49995E-12	2.8007460E-12	600.00002E-3	-1.5482509E-3	103.09211E-12	-588.24772E-3	276.54122E-6	-2.3383554E-12	12.218812E-15
674.99994E-12	2.8009348E-12	600.00002E-3	-4.5062769E-3	102.84890E-12	-594.13600E-3	305.78306E-6	-2.3570429E-12	22.117057E-15
672.49994E-12	2.7964942E-12	600.00002E-3	-7.9846187E-3	103.11921E-12	-601.17853E-3	291.00635E-6	-2.3679162E-12	11.282097E-15
669.99994E-12	2.7925824E-12	600.00002E-3	5.5225408E-3	103.36591E-12	-588.67192E-3	262.46859E-6	-2.3760395E-12	28.338785E-15
667.49994E-12	2.7962385E-12	600.00002E-3	-252.27660E-6	102.70305E-12	-586.98905E-3	326.75889E-6	-2.3694839E-12	24.317576E-15
664.99994E-12	2.7917473E-12	600.00002E-3	-2.5923885E-3	103.16821E-12	-600.30961E-3	284.24533E-6	-2.3537342E-12	2.7700493E-15
662.49994E-12	2.7859696E-12	600.00002E-3	-821.51737E-6	103.09082E-12	-629.09168E-3	295.58755E-6	-2.3700495E-12	27.197278E-15
659.99994E-12	2.7783450E-12	600.00002E-3	8.4101297E-3	103.15519E-12	-560.58043E-3	281.69341E-6	-2.3621385E-12	18.667471E-15
657.49994E-12	2.7770568E-12	600.00002E-3	-1.4690432E-3	103.01528E-12	-603.67918E-3	291.76028E-6	-2.3490732E-12	34.272224E-15
654.99994E-12	2.7764702E-12	600.00002E-3	528.82492E-6	103.06987E-12	-587.66210E-3	271.06327E-6	-2.3615396E-12	11.826600E-15
652.49994E-12	2.7736908E-12	600.00002E-3	-1.8936920E-3	102.96324E-12	-600.83753E-3	291.24372E-6	-2.3662992E-12	20.689647E-15
649.99994E-12	2.7706225E-12	600.00002E-3	334.93424E-6	102.94509E-12	-602.64266E-3	288.85168E-6	-2.3402259E-12	2.8748190E-15
647.49994E-12	2.7600650E-12	600.00002E-3	-1.7297188E-3	102.94911E-12	-617.94066E-3	287.61066E-6	-2.3689440E-12	-10.324744E-15
644.99994E-12	2.7603857E-12	600.00002E-3	-4.5294324E-3	103.16668E-12	-592.54241E-3	270.67549E-6	-2.3782556E-12	35.034523E-15
642.49994E-12	2.7596781E-12	600.00002E-3	1.5371034E-3	102.90128E-12	-586.48443E-3	296.53669E-6	-2.3565449E-12	20.332113E-15
639.99994E-12	2.7581680E-12	600.00002E-3	-1.6610062E-3	102.92759E-12	-591.66032E-3	300.42321E-6	-2.3588516E-12	24.217497E-15
637.49994E-12	2.7547339E-12	600.00002E-3	4.1241702E-3	103.06515E-12	-575.13821E-3	285.30837E-6	-2.3534629E-12	21.319753E-15
634.99994E-12	2.7551730E-12	600.00002E-3	-2.8383913E-3	103.23126E-12	-625.76759E-3	263.82587E-6	-2.3590966E-12	4.2020750E-15
632.49994E-12	2.7439310E-12	600.00002E-3	-133.67532E-6	103.09211E-12	-643.18323E-3	287.74643E-6	-2.3661294E-12	35.184732E-15
629.99994E-12	2.7429634E-12	600.00002E-3	28.785846E-6	102.73327E-12	-626.44333E-3	318.52777E-6	-2.3677150E-12	3.8516447E-15
627.49994E-12	2.7406393E-12	600.00002E-3	4.5302645E-3	102.90738E-12	-576.68233E-3	304.17298E-6	-2.3789521E-12	-2.3320666E-15
624.99994E-12	2.7382285E-12	600.00002E-3	-8.4605748E-3	102.98257E-12	-656.74603E-3	302.26127E-6	-2.3547895E-12	12.237279E-15
